symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
PDD,2023-02-01,102.98,121.4878,2023-03-01,91.04,-1450.57,-11.59,19
AXON,2023-02-01,198.39,10.3575,2023-03-01,221.06,234.8,11.43,19
SHOP,2023-02-01,50.26,248.922,2023-03-01,40.1,-2529.05,-20.21,19
META,2023-03-01,173.42,3.6416,2023-04-03,213.07,144.39,22.86,23
AXON,2023-02-01,198.39,52.7043,2023-04-03,227.39,1528.42,14.62,42
NVDA,2023-03-01,22.698,29.167,2023-04-03,27.965,153.62,23.2,23
META,2023-03-01,173.42,4.0186,2023-05-01,243.18,280.34,40.23,42
MSTR,2023-04-03,29.739,455.2503,2023-05-01,30.747,458.89,3.39,19
ISRG,2023-05-01,303.02,47.768,2023-06-01,310.54,359.22,2.48,22
NVDA,2023-03-01,22.698,73.6548,2023-06-01,39.77,1257.43,75.21,64
META,2023-03-01,173.42,62.297,2023-07-03,286.02,7014.65,64.93,85
PLTR,2023-06-01,14.54,7.5959,2023-07-03,15.52,7.44,6.74,21
NVDA,2023-03-01,22.698,2.4018,2023-07-03,42.413,47.35,86.86,85
MSTR,2023-07-03,37.784,476.645,2023-08-01,43.498,2723.55,15.12,20
PLTR,2023-06-01,14.54,99.0652,2023-08-01,19.99,539.91,37.48,41
PLTR,2023-06-01,14.54,1061.3443,2023-09-01,15.18,679.26,4.4,64
APP,2023-08-01,31.43,155.1659,2023-09-01,43.19,1824.75,37.42,23
ADBE,2023-09-01,563.21,39.8662,2023-10-02,521.13,-1677.57,-7.47,20
NVDA,2023-03-01,22.698,462.8634,2023-10-02,44.782,10221.88,97.29,148
APP,2023-08-01,31.43,7.9615,2023-10-02,40.82,74.76,29.88,43
PLTR,2023-10-02,15.88,1315.8669,2023-11-01,14.92,-1263.23,-6.05,22
INSM,2023-10-02,25.37,823.6487,2023-11-01,24.99,-312.99,-1.5,22
ZS,2023-11-01,156.65,125.4085,2023-12-01,198.03,5189.41,26.42,21
MSTR,2023-11-01,42.667,21.1418,2023-12-01,52.768,213.55,23.67,21
APP,2023-08-01,31.43,535.2928,2023-12-01,38.25,3650.7,21.7,86
MSTR,2023-11-01,42.667,61.6919,2024-01-02,68.515,1594.61,60.58,41
CRWD,2023-12-01,235.03,23.6598,2024-02-01,299.37,1522.27,27.38,41
PDD,2023-12-01,145.27,177.6376,2024-02-01,126.59,-3318.27,-12.86,41
MSTR,2023-11-01,42.667,377.5981,2024-02-01,50.348,2900.33,18.0,62
CRWD,2023-12-01,235.03,81.1283,2024-03-01,314.6,6455.38,33.86,61
AMD,2024-02-01,170.48,0.9652,2024-03-01,202.64,31.04,18.86,20
NVDA,2024-02-01,63.027,36.8581,2024-03-01,82.279,709.59,30.55,20
MSTR,2024-03-01,107.939,60.2237,2024-04-01,163.674,3356.57,51.64,20
AMD,2024-02-01,170.48,141.4996,2024-04-01,183.34,1819.68,7.54,40
ARM,2024-04-01,126.91,264.9292,2024-05-01,95.29,-8377.06,-24.92,22
NVDA,2024-02-01,63.027,62.1575,2024-05-01,83.041,1244.02,31.75,62
MSTR,2024-03-01,107.939,31.4456,2024-06-03,162.741,1723.28,50.77,64
NVDA,2024-02-01,63.027,0.2315,2024-06-03,115.0,12.03,82.46,84
APP,2024-05-01,69.74,369.0304,2024-06-03,82.7,4782.63,18.58,22
MSTR,2024-03-01,107.939,218.8405,2024-07-01,136.597,6271.53,26.55,83
NVDA,2024-02-01,63.027,13.187,2024-07-01,124.3,808.01,97.22,103
INSM,2024-06-03,55.94,81.1006,2024-07-01,66.34,843.45,18.59,19
