symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held,cap_tag,pnl_pct
WMT,2024-08-05,67.3988,8712.5639,2024-08-12,68.6269,10699.9,1.82,5,mega,1.82
NVDA,2024-01-22,59.5655,525.0748,2024-08-19,129.6752,36812.83,117.7,141,mega,117.7
ISRG,2024-08-12,464.9515,1302.8011,2024-08-19,481.1172,21060.69,3.48,5,mega,3.48
TMUS,2024-08-12,194.6276,3112.2993,2024-08-19,197.2537,8173.21,1.35,5,mega,1.35
WMT,2024-08-19,73.6094,8877.0041,2024-08-26,75.9259,20563.58,3.15,5,mega,3.15
AVGO,2024-08-19,167.3786,3903.9097,2024-08-26,159.4105,-31106.74,-4.76,5,mega,-4.76
NVDA,2024-01-22,59.5655,5097.0193,2024-09-03,107.828,245994.89,81.02,151,mega,81.02
LLY,2024-08-26,948.3553,36.3121,2024-09-03,954.4563,221.54,0.64,5,mega,0.64
TMUS,2024-08-26,200.1294,3215.1685,2024-09-03,200.1993,224.74,0.03,5,mega,0.03
LLY,2024-08-26,948.3553,642.1781,2024-09-09,906.7579,-26712.94,-4.39,9,mega,-4.39
ISRG,2024-09-03,482.7148,1269.7578,2024-09-09,478.3514,-5540.46,-0.9,4,mega,-0.9
WMT,2024-09-03,77.0443,173.6318,2024-09-09,77.1741,22.54,0.17,4,mega,0.17
GEV,2024-09-09,201.3475,218.1722,2024-09-16,229.7349,6193.34,14.1,5,mega,14.1
UNH,2024-09-09,592.9592,1012.8246,2024-09-16,588.3561,-4662.13,-0.78,5,mega,-0.78
GEV,2024-09-09,201.3475,182.9285,2024-09-23,251.0928,9099.83,24.71,10,mega,24.71
ORCL,2024-09-16,170.0845,3734.1063,2024-09-23,165.6112,-16703.78,-2.63,5,mega,-2.63
WMT,2024-09-03,77.0443,7893.6205,2024-09-23,80.2095,24984.89,4.11,14,mega,4.11
GEV,2024-09-09,201.3475,1.3106,2024-09-30,254.4278,69.57,26.36,15,mega,26.36
TSLA,2024-09-23,249.605,85.4,2024-09-30,261.3873,1006.21,4.72,5,mega,4.72
GEV,2024-09-09,201.3475,79.1397,2024-10-07,261.9166,4793.42,30.08,20,mega,30.08
PLTR,2024-09-23,37.8731,790.7938,2024-10-07,38.8117,742.24,2.48,10,mega,2.48
TSLA,2024-09-23,249.605,2511.6095,2024-10-07,240.3689,-23197.48,-3.7,10,mega,-3.7
PLTR,2024-09-23,37.8731,859.7,2024-10-14,43.3349,4695.51,14.42,14,mega,14.42
ORCL,2024-10-07,169.6251,3862.0361,2024-10-14,175.9157,24294.52,3.71,4,mega,3.71
NVDA,2024-10-14,137.813,118.5343,2024-10-21,143.3846,660.43,4.04,4,mega,4.04
GEV,2024-09-09,201.3475,24.4188,2024-10-21,275.8855,1820.13,37.02,28,mega,37.02
GEV,2024-09-09,201.3475,2556.3468,2024-10-28,288.856,223702.08,43.46,32,mega,43.46
PLTR,2024-09-23,37.8731,430.0838,2024-10-28,44.9025,3023.23,18.56,22,mega,18.56
NVDA,2024-10-14,137.813,170.0053,2024-11-04,135.9557,-315.75,-1.35,13,mega,-1.35
TSLA,2024-10-28,262.7254,2754.9243,2024-11-04,242.5556,-55566.27,-7.68,5,mega,-7.68
NVDA,2024-10-14,137.813,4990.359,2024-11-11,145.1219,36474.04,5.3,18,mega,5.3
PLTR,2024-09-23,37.8731,2733.0641,2024-11-11,60.1396,60855.77,58.79,32,mega,58.79
ORCL,2024-11-04,169.2457,4008.774,2024-11-11,188.7065,78013.95,11.5,5,mega,11.5
PLTR,2024-09-23,37.8731,623.8526,2024-11-18,61.1581,14526.41,61.48,37,mega,61.48
PLTR,2024-09-23,37.8731,389.0014,2024-11-25,64.6329,10409.6,70.66,41,mega,70.66
TSLA,2024-11-11,349.3452,48.3708,2024-12-02,356.3148,337.13,2.0,12,mega,2.0
PLTR,2024-09-23,37.8731,386.8077,2024-12-09,72.3513,13336.43,91.04,49,mega,91.04
TSLA,2024-11-11,349.3452,71.731,2024-12-09,389.0953,2851.32,11.38,17,mega,11.38
GEV,2024-11-11,349.0756,2672.3133,2024-12-16,337.5429,-30818.99,-3.3,22,mega,-3.3
TSLA,2024-11-11,349.3452,205.9746,2024-12-16,461.4069,23081.86,32.08,22,mega,32.08
PLTR,2024-09-23,37.8731,865.0909,2024-12-24,82.2963,38430.11,117.29,59,mega,117.29
AVGO,2024-12-16,249.6549,3867.4871,2024-12-24,239.2406,-40277.17,-4.17,5,mega,-4.17
GEV,2024-12-24,345.9202,2833.9875,2024-12-30,329.6049,-46237.36,-4.72,3,mega,-4.72
PLTR,2024-09-23,37.8731,72.9577,2024-12-30,77.0143,2855.65,103.35,62,mega,103.35
AVGO,2024-12-30,235.0968,3878.378,2025-01-06,235.8756,3020.48,0.33,4,mega,0.33
GEV,2025-01-06,370.2438,116.7842,2025-01-13,366.0901,-485.09,-1.12,4,mega,-1.12
TSLA,2024-11-11,349.3452,87.444,2025-01-13,402.2955,4630.18,15.16,38,mega,15.16
GEV,2025-01-06,370.2438,62.8099,2025-01-21,415.2562,2827.22,12.16,9,mega,12.16
PLTR,2024-09-23,37.8731,245.3689,2025-01-21,72.9603,8609.31,92.64,75,mega,92.64
PLTR,2024-09-23,37.8731,1386.1358,2025-01-27,75.3068,51888.19,98.84,79,mega,98.84
TSLA,2024-11-11,349.3452,39.2892,2025-01-27,396.7341,1861.87,13.57,47,mega,13.57
GEV,2025-01-06,370.2438,91.6669,2025-02-03,360.848,-861.28,-2.54,18,mega,-2.54
PLTR,2024-09-23,37.8731,561.5231,2025-02-03,83.7441,25757.62,121.12,84,mega,121.12
PLTR,2024-09-23,37.8731,2091.8112,2025-02-10,116.5049,164482.88,207.62,89,mega,207.62
TSLA,2024-11-11,349.3452,2384.8982,2025-02-10,350.743,3333.61,0.4,57,mega,0.4
META,2025-02-10,716.0043,1433.7305,2025-02-18,715.1456,-1231.14,-0.12,5,mega,-0.12
PLTR,2024-09-23,37.8731,468.728,2025-02-18,124.4131,40563.72,228.5,94,mega,228.5
GEV,2025-01-06,370.2438,2787.6364,2025-02-24,315.4062,-152867.29,-14.81,32,mega,-14.81
AVGO,2025-02-18,228.0873,4550.5498,2025-02-24,207.4483,-93918.8,-9.05,4,mega,-9.05
IBM,2025-02-24,261.5469,3284.9976,2025-03-03,249.6849,-38966.64,-4.54,5,mega,-4.54
TMUS,2025-02-24,267.8376,171.003,2025-03-03,272.3608,773.48,1.69,5,mega,1.69
TMUS,2025-02-24,267.8376,3036.8399,2025-03-10,266.0702,-5367.31,-0.66,10,mega,-0.66
PLTR,2024-09-23,37.8731,9921.6593,2025-03-10,76.0457,378735.53,100.79,108,mega,100.79
PM,2025-03-03,158.5618,5216.3646,2025-03-10,149.9147,-45106.43,-5.45,5,mega,-5.45
GEV,2025-05-12,415.8353,27.2128,2025-05-19,445.9998,820.86,7.25,5,mega,7.25
PLTR,2025-05-12,118.2523,61.1604,2025-05-19,126.1604,483.66,6.69,5,mega,6.69
GEV,2025-05-12,415.8353,90.3383,2025-05-27,470.4731,4935.89,13.14,10,mega,13.14
BA,2025-05-12,198.2322,4024.6242,2025-05-27,200.6485,9724.7,1.22,10,mega,1.22
GE,2025-05-27,241.2975,3430.03,2025-06-02,246.9789,19487.37,2.35,4,mega,2.35
PLTR,2025-05-12,118.2523,185.9615,2025-06-02,131.8219,2523.42,11.48,14,mega,11.48
GEV,2025-05-12,415.8353,0.4466,2025-06-09,479.7992,28.56,15.38,19,mega,15.38
PLTR,2025-05-12,118.2523,65.0483,2025-06-09,131.8219,882.68,11.48,19,mega,11.48
PLTR,2025-05-12,118.2523,190.3538,2025-06-16,141.1978,4367.76,19.4,24,mega,19.4
AVGO,2025-06-02,248.257,3499.8142,2025-06-16,251.582,11636.88,1.34,10,mega,1.34
GEV,2025-05-12,415.8353,47.1793,2025-06-23,498.7207,3910.48,19.93,28,mega,19.93
GEV,2025-05-12,415.8353,48.0095,2025-06-30,528.7456,5420.77,27.15,32,mega,27.15
ORCL,2025-06-16,210.6735,114.4681,2025-06-30,218.941,946.36,3.92,8,mega,3.92
ORCL,2025-06-16,210.6735,126.3982,2025-07-07,231.8616,2678.14,10.06,11,mega,10.06
GEV,2025-05-12,415.8353,18.5469,2025-07-14,553.9178,2561.0,33.21,40,mega,33.21
PLTR,2025-05-12,118.2523,233.9606,2025-07-14,148.9562,7183.5,25.96,40,mega,25.96
ORCL,2025-06-16,210.6735,117.2166,2025-07-21,243.2146,3814.36,15.45,21,mega,15.45
GEV,2025-05-12,415.8353,120.1411,2025-07-28,646.5487,27718.17,55.48,50,mega,55.48
ORCL,2025-06-16,210.6735,4118.9499,2025-07-28,247.3584,151103.26,17.41,26,mega,17.41
PLTR,2025-05-12,118.2523,138.016,2025-08-04,166.4799,6656.18,40.78,55,mega,40.78
PLTR,2025-05-12,118.2523,503.2278,2025-08-11,182.4259,32293.94,54.27,60,mega,54.27
AMD,2025-07-28,173.4094,286.2689,2025-08-18,175.6361,637.44,1.28,15,mega,1.28
GEV,2025-05-12,415.8353,62.9697,2025-08-25,600.0985,11603.0,44.31,70,mega,44.31
PLTR,2025-05-12,118.2523,6316.783,2025-08-25,156.0455,238731.44,31.96,70,mega,31.96
ORCL,2025-08-25,234.8771,4343.1716,2025-09-02,225.0119,-42846.26,-4.2,5,mega,-4.2
AMD,2025-07-28,173.4094,146.2113,2025-09-02,161.9067,-1681.83,-6.63,25,mega,-6.63
GEV,2025-05-12,415.8353,85.1996,2025-09-08,599.1,15614.07,44.07,79,mega,44.07
PLTR,2025-09-02,157.064,6304.3494,2025-09-08,155.756,-8246.09,-0.83,4,mega,-0.83
AMD,2025-07-28,173.4094,6115.7836,2025-09-08,150.8034,-138253.4,-13.04,29,mega,-13.04
GOOGL,2025-09-08,233.649,4180.767,2025-09-15,251.0229,72636.23,7.44,5,mega,7.44
GEV,2025-05-12,415.8353,1647.7139,2025-09-22,639.04,367777.49,53.68,89,mega,53.68
ORCL,2025-09-15,301.3173,230.8404,2025-09-22,326.5095,5815.38,8.36,5,mega,8.36
AVGO,2025-09-08,345.1315,2837.6448,2025-09-22,338.6912,-18275.28,-1.87,10,mega,-1.87
PLTR,2025-09-22,179.3306,5820.9123,2025-09-29,178.0125,-7672.54,-0.74,5,mega,-0.74
TSLA,2025-09-22,433.7782,2406.4549,2025-09-29,440.9376,17228.77,1.65,5,mega,1.65
INTC,2025-09-29,34.2086,29175.5685,2025-10-06,36.6149,70205.17,7.03,5,mega,7.03
MU,2025-09-29,163.5143,414.6622,2025-10-06,191.3126,11526.9,17.0,5,mega,17.0
ORCL,2025-09-15,301.3173,3544.5202,2025-10-06,291.3123,-35462.92,-3.32,15,mega,-3.32
MU,2025-09-29,163.5143,70.0265,2025-10-13,192.0415,1997.66,17.45,10,mega,17.45
LRCX,2025-10-06,148.9162,7308.8084,2025-10-13,137.5333,-83195.44,-7.64,5,mega,-7.64
AMD,2025-10-06,206.0904,295.386,2025-10-13,216.4348,3055.59,5.02,5,mega,5.02
MU,2025-09-29,163.5143,33.5338,2025-10-20,206.8692,1453.86,26.51,15,mega,26.51
AMD,2025-10-06,206.0904,175.2827,2025-10-20,240.1991,5978.67,16.55,10,mega,16.55
INTC,2025-10-13,37.0643,30357.1956,2025-10-27,39.3708,70018.87,6.22,10,mega,6.22
MU,2025-09-29,163.5143,24.6521,2025-10-27,219.9695,1391.74,34.53,20,mega,34.53
