symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
PDD,2023-01-26,104.66,12.7621,2023-02-22,83.42,-271.07,-20.29,18
ASML,2023-01-26,683.9,1.953,2023-04-19,623.6,-117.77,-8.82,57
PANW,2023-02-22,93.875,13.1172,2023-08-08,105.74,155.64,12.64,115
FER,2023-01-31,29.99,43.6941,2023-08-22,30.0,0.44,0.03,140
NVDA,2023-01-26,19.802,67.4517,2023-09-21,41.017,1430.99,107.14,164
CPRT,2023-04-19,39.04,34.2083,2023-09-21,43.14,140.25,10.5,107
PCAR,2023-10-04,86.67,17.9463,2023-10-19,82.55,-73.94,-4.75,11
CSCO,2023-08-22,55.46,29.4664,2023-10-20,52.93,-74.55,-4.56,42
COST,2023-09-28,568.63,2.7546,2023-10-26,547.6,-57.93,-3.7,20
MSFT,2023-10-25,340.67,4.5471,2023-10-26,327.89,-58.11,-3.75,1
CEG,2023-08-08,104.81,15.6915,2023-12-07,110.53,89.76,5.46,85
MSTR,2023-10-24,42.487,36.5118,2024-01-11,53.618,406.41,26.2,54
SHOP,2024-01-11,81.3,21.4009,2024-04-03,75.64,-121.13,-6.96,56
TMUS,2023-10-31,143.86,10.6425,2024-04-12,160.05,172.3,11.25,112
MSFT,2023-11-01,346.07,4.4551,2024-04-19,399.12,236.34,15.33,116
CRWD,2023-12-07,240.17,6.9925,2024-04-19,282.64,296.97,17.68,91
KHC,2024-04-19,37.78,44.7276,2024-05-01,36.28,-67.09,-3.97,8
PEP,2024-04-22,176.46,9.6228,2024-05-30,170.48,-57.54,-3.39,27
KDP,2024-04-22,31.76,53.4645,2024-07-09,31.95,10.16,0.6,53
APP,2024-04-03,72.86,24.6917,2024-07-25,76.17,81.73,4.54,78
TSLA,2024-07-09,262.33,6.99,2024-08-02,207.67,-382.07,-20.84,18
INSM,2024-05-30,56.98,30.9534,2024-10-24,71.71,455.94,25.85,102
AEP,2024-05-01,88.15,19.3331,2024-11-06,96.25,156.6,9.19,131
ALNY,2024-08-02,272.05,6.5402,2024-11-13,264.6,-48.72,-2.74,72
PLTR,2024-10-24,43.56,42.544,2025-01-13,64.98,911.29,49.17,53
LITE,2024-11-06,71.97,26.8014,2025-01-27,74.17,58.96,3.06,53
AMZN,2025-01-27,235.42,8.4281,2025-02-24,212.71,-191.4,-9.65,19
SHOP,2024-11-13,115.09,17.829,2025-03-04,101.73,-238.2,-11.61,73
BKR,2025-01-14,45.07,44.7287,2025-03-05,42.32,-123.0,-6.1,34
DXCM,2025-02-24,90.75,22.6674,2025-03-07,77.84,-292.64,-14.23,9
FER,2025-03-05,46.22,42.5642,2025-04-04,42.66,-151.53,-7.7,22
AMGN,2025-03-05,316.57,6.2145,2025-04-08,280.26,-225.65,-11.47,24
GILD,2024-07-25,76.51,23.3929,2025-05-06,97.88,499.91,27.93,195
MNST,2025-05-12,61.36,29.1591,2025-07-10,59.17,-63.86,-3.57,40
MELI,2025-05-12,2504.6101,0.7144,2025-08-06,2317.22,-133.86,-7.48,59
INTU,2025-05-12,662.3,2.7015,2025-08-19,701.03,104.63,5.85,68
ZS,2025-05-12,241.48,7.4093,2025-09-04,268.25,198.35,11.09,79
MCHP,2025-07-10,75.08,25.1421,2025-09-15,63.17,-299.44,-15.86,46
ALNY,2025-08-06,428.14,4.2908,2025-11-25,429.8,7.12,0.39,78
INTC,2025-08-19,25.31,70.7733,2026-01-26,42.49,1215.89,67.88,109
LITE,2025-09-04,141.91,12.4403,2026-03-06,558.44,5181.75,293.52,126
STX,2026-01-26,358.29,7.7524,2026-03-06,352.8,-42.56,-1.53,28
SBUX,2026-03-09,99.77,33.7345,2026-03-27,86.81,-437.2,-12.99,14
WBD,2025-09-15,19.46,94.252,2026-04-10,27.44,752.13,41.01,143
