symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
WULF,2025-11-03,16.1,23113.355,2026-01-02,12.74,-77660.89,-20.87,41
CIFR,2025-10-01,12.6,17960.0978,2026-01-02,16.2,64656.36,28.57,64
SNDK,2025-12-01,210.17,333.5246,2026-01-02,275.24,21702.44,30.96,22
WDC,2025-12-01,163.54,65.7165,2026-02-02,270.23,7011.3,65.24,42
SNDK,2025-12-01,210.17,572.1771,2026-02-02,665.24,260380.61,216.52,42
RKLB,2026-01-02,75.99,4886.4657,2026-02-02,74.15,-8991.08,-2.42,20
IREN,2026-02-02,53.08,9736.8335,2026-03-02,41.39,-113823.61,-22.02,19
SATS,2026-01-02,112.18,4434.4155,2026-03-02,118.68,28823.7,5.79,39
LITE,2026-01-02,386.11,503.771,2026-03-02,783.25,200067.62,102.86,39
TER,2026-03-02,325.83,1723.1838,2026-04-01,312.2,-23486.95,-4.18,22
MU,2025-12-01,240.46,1360.5664,2026-04-01,367.85,173322.56,52.98,83
SNDK,2025-12-01,210.17,906.9344,2026-04-01,692.73,437650.25,229.6,83
WDC,2025-12-01,163.54,2078.884,2026-04-01,297.73,278965.48,82.05,83
LITE,2026-01-02,386.11,716.84,2026-04-01,764.65,271352.66,98.04,61
MRNA,2026-03-02,52.845,10624.7507,2026-04-01,50.03,-29908.7,-5.33,22
