date,action,symbol,price,shares
2022-09-14,BUY,COST,512.2005,437.3328
2022-09-15,SELL,GILD,65.4018,3482.4351
2022-09-15,SELL,CTAS,100.6014,2195.9006
2022-09-15,SELL,COST,507.248,437.3328
2022-12-07,BUY,AXON,170.0146,1312.4881
2022-12-07,BUY,DXCM,116.1355,1921.3948
2022-12-07,BUY,GILD,87.9079,2538.3628
2022-12-08,SELL,AXON,171.4724,1312.4881
2022-12-08,SELL,DXCM,123.4146,1921.3948
2022-12-08,SELL,GILD,87.6783,2538.3628
2022-12-14,BUY,AXON,169.745,1342.4888
2022-12-14,BUY,ALNY,234.1183,973.3573
2022-12-14,BUY,DXCM,119.5205,1906.6249
2022-12-16,SELL,AXON,168.7565,1342.4888
2022-12-16,SELL,ALNY,225.9905,973.3573
2022-12-16,SELL,DXCM,113.7292,1906.6249
2023-01-25,BUY,AXON,186.7295,1182.2728
2023-01-25,BUY,ASML,656.3441,336.3559
2023-01-25,BUY,BKNG,91.5605,2411.1402
2023-02-14,SELL,ASML,660.7075,336.3559
2023-02-15,BUY,GILD,84.8925,2613.6063
2023-02-22,SELL,BKNG,96.6556,2411.1402
2023-02-22,SELL,GILD,84.4731,2613.6063
2023-02-23,BUY,ABNB,128.0277,1769.5393
2023-02-23,BUY,FTNT,60.3893,3751.4931
2023-02-28,SELL,FTNT,59.4207,3751.4931
2023-03-01,BUY,BKNG,100.8809,2206.1457
2023-03-07,SELL,ABNB,125.5514,1769.5393
2023-03-08,BUY,FTNT,60.569,3662.1201
2023-03-14,SELL,FTNT,59.8701,3662.1201
2023-03-15,BUY,CDNS,201.697,1085.2862
2023-03-21,SELL,BKNG,100.4491,2206.1457
2023-03-21,SELL,CDNS,207.5482,1085.2862
2023-03-22,BUY,AMD,95.6263,2332.7064
2023-03-22,BUY,AMAT,120.0996,1857.3591
2023-03-28,SELL,AMAT,118.5719,1857.3591
2023-03-29,BUY,BKNG,102.804,2138.7933
2023-04-11,SELL,BKNG,103.0835,2138.7933
2023-04-12,BUY,FTNT,67.3488,3268.3556
2023-04-18,SELL,AMD,91.5924,2332.7064
2023-04-19,BUY,BKNG,107.159,1990.6363
